Scheme Strike Density
RAN 0.8995 1.23e+00
RE 0.8995 1.23e+00
TRBDF2 0.8995 1.23e+00
CN 0.8995 1.23e+00
Hagan 0.9095 1.29e+00
LMG3 0.9095 1.26e+00
LMG2 0.9095 1.26e+00
RAN 0.9095 1.26e+00
RE 0.9095 1.26e+00
TRBDF2 0.9095 1.26e+00
CN 0.9095 1.26e+00
Hagan 0.9196 1.31e+00
LMG3 0.9196 1.28e+00
LMG2 0.9196 1.28e+00
RAN 0.9196 1.28e+00
RE 0.9196 1.28e+00
TRBDF2 0.9196 1.28e+00
CN 0.9196 1.28e+00
Hagan 0.9296 1.34e+00
LMG3 0.9296 1.30e+00
LMG2 0.9296 1.30e+00
RAN 0.9296 1.30e+00
RE 0.9296 1.30e+00
TRBDF2 0.9296 1.30e+00
CN 0.9296 1.30e+00
Hagan 0.9397 1.36e+00
LMG3 0.9397 1.32e+00
LMG2 0.9397 1.32e+00
RAN 0.9397 1.32e+00
RE 0.9397 1.32e+00
TRBDF2 0.9397 1.32e+00
CN 0.9397 1.33e+00
Hagan 0.9497 1.38e+00
LMG3 0.9497 1.34e+00
LMG2 0.9497 1.34e+00
RAN 0.9497 1.34e+00
RE 0.9497 1.34e+00
TRBDF2 0.9497 1.34e+00
CN 0.9497 1.35e+00
Hagan 0.9598 1.40e+00
LMG3 0.9598 1.35e+00
LMG2 0.9598 1.35e+00
RAN 0.9598 1.35e+00
RE 0.9598 1.35e+00
TRBDF2 0.9598 1.35e+00
CN 0.9598 1.30e+00
Hagan 0.9698 1.42e+00
LMG3 0.9698 1.37e+00
LMG2 0.9698 1.37e+00
RAN 0.9698 1.37e+00
RE 0.9698 1.36e+00
TRBDF2 0.9698 1.36e+00
CN 0.9698 1.26e+00
Hagan 0.9799 1.43e+00
LMG3 0.9799 1.37e+00
LMG2 0.9799 1.37e+00
RAN 0.9799 1.37e+00
RE 0.9799 1.37e+00
TRBDF2 0.9799 1.37e+00
CN 0.9799 2.13e+00
Hagan 0.9899 1.44e+00
LMG3 0.9899 1.38e+00
LMG2 0.9899 1.38e+00
RAN 0.9899 1.38e+00
RE 0.9899 1.38e+00
TRBDF2 0.9899 1.38e+00
CN 0.9899 -3.01e-01
Hagan 1.0000 1.44e+00
LMG3 1.0000 1.38e+00
LMG2 1.0000 1.38e+00
RAN 1.0000 1.38e+00
RE 1.0000 1.38e+00
TRBDF2 1.0000 1.38e+00
CN 1.0000 3.52e+00
