Scheme Strike Density
CN 1.1932 9.8131e-01
Hagan 1.1979 9.8457e-01
CN 1.1979 9.6568e-01
Hagan 1.2028 9.6719e-01
CN 1.2028 9.4997e-01
Hagan 1.2076 9.4977e-01
CN 1.2076 9.3419e-01
Hagan 1.2125 9.3232e-01
CN 1.2125 9.1837e-01
Hagan 1.2174 9.1487e-01
CN 1.2174 9.0251e-01
Hagan 1.2224 8.9743e-01
CN 1.2224 8.8662e-01
Hagan 1.2274 8.8001e-01
CN 1.2274 8.7073e-01
Hagan 1.2324 8.6262e-01
CN 1.2324 8.5483e-01
Hagan 1.2374 8.4530e-01
CN 1.2374 8.3895e-01
Hagan 1.2425 8.2803e-01
CN 1.2425 8.2309e-01
Hagan 1.2476 8.1085e-01
CN 1.2476 8.0727e-01
Hagan 1.2528 7.9376e-01
CN 1.2528 7.9150e-01
Hagan 1.2580 7.7677e-01
CN 1.2580 7.7579e-01
Hagan 1.2632 7.5990e-01
CN 1.2632 7.6014e-01
Hagan 1.2685 7.4316e-01
CN 1.2685 7.4458e-01
Hagan 1.2738 7.2655e-01
CN 1.2738 7.2910e-01
Hagan 1.2791 7.1009e-01
CN 1.2791 7.1372e-01
Hagan 1.2845 6.9379e-01
CN 1.2845 6.9845e-01
Hagan 1.2900 6.7765e-01
CN 1.2900 6.8330e-01
Hagan 1.2954 6.6169e-01
CN 1.2954 6.6827e-01
Hagan 1.3010 6.4590e-01
CN 1.3010 6.5337e-01
Hagan 1.3065 6.3031e-01
CN 1.3065 6.3862e-01
Hagan 1.3122 6.1492e-01
CN 1.3122 6.2400e-01
Hagan 1.3178 5.9972e-01
CN 1.3178 6.0955e-01
Hagan 1.3235 5.8474e-01
CN 1.3235 5.9525e-01
Hagan 1.3293 5.6996e-01
CN 1.3293 5.8111e-01
Hagan 1.3351 5.5541e-01
CN 1.3351 5.6715e-01
Hagan 1.3410 5.4108e-01
CN 1.3410 5.5336e-01
Hagan 1.3469 5.2697e-01
CN 1.3469 5.3976e-01
Hagan 1.3528 5.1310e-01
CN 1.3528 5.2633e-01
Hagan 1.3589 4.9945e-01
CN 1.3589 5.1310e-01
Hagan 1.3649 4.8605e-01
CN 1.3649 5.0006e-01
Hagan 1.3711 4.7288e-01
CN 1.3711 4.8722e-01
Hagan 1.3773 4.5995e-01
CN 1.3773 4.7457e-01
Hagan 1.3835 4.4726e-01
CN 1.3835 4.6213e-01
Hagan 1.3898 4.3481e-01
CN 1.3898 4.4989e-01
Hagan 1.3962 4.2261e-01
CN 1.3962 4.3785e-01
Hagan 1.4026 4.1065e-01
CN 1.4026 4.2603e-01
Hagan 1.4091 3.9893e-01
CN 1.4091 4.1441e-01
Hagan 1.4156 3.8745e-01
CN 1.4156 4.0300e-01
Hagan 1.4223 3.7622e-01
CN 1.4223 3.9181e-01
Hagan 1.4290 3.6523e-01
CN 1.4290 3.8082e-01
Hagan 1.4357 3.5448e-01
CN 1.4357 3.7005e-01
Hagan 1.4425 3.4398e-01
CN 1.4425 3.5949e-01
Hagan 1.4494 3.3370e-01
CN 1.4494 3.4915e-01
Hagan 1.4564 3.2367e-01
CN 1.4564 3.3902e-01
Hagan 1.4634 3.1387e-01
CN 1.4634 3.2909e-01
Hagan 1.4705 3.0430e-01
CN 1.4705 3.1938e-01
Hagan 1.4777 2.9496e-01
CN 1.4777 3.0988e-01
Hagan 1.4849 2.8585e-01
CN 1.4849 3.0059e-01
Hagan 1.4923 2.7697e-01
CN 1.4923 2.9150e-01
Hagan 1.4997 2.6831e-01
CN 1.4997 2.8263e-01
Hagan 1.5072 2.5986e-01
CN 1.5072 2.7395e-01
Hagan 1.5147 2.5164e-01
CN 1.5147 2.6548e-01
Hagan 1.5224 2.4362e-01
CN 1.5224 2.5721e-01
Hagan 1.5301 2.3582e-01
CN 1.5301 2.4914e-01
Hagan 1.5379 2.2822e-01
CN 1.5379 2.4126e-01
Hagan 1.5458 2.2083e-01
CN 1.5458 2.3358e-01
Hagan 1.5538 2.1364e-01
CN 1.5538 2.2610e-01
Hagan 1.5619 2.0665e-01
CN 1.5619 2.1880e-01
Hagan 1.5701 1.9985e-01
CN 1.5701 2.1169e-01
Hagan 1.5784 1.9323e-01
CN 1.5784 2.0476e-01
Hagan 1.5867 1.8681e-01
CN 1.5867 1.9802e-01
Hagan 1.5952 1.8057e-01
CN 1.5952 1.9146e-01
Hagan 1.6037 1.7450e-01
CN 1.6037 1.8507e-01
Hagan 1.6124 1.6861e-01
CN 1.6124 1.7885e-01
Hagan 1.6211 1.6290e-01
CN 1.6211 1.7281e-01
Hagan 1.6300 1.5735e-01
CN 1.6300 1.6693e-01
Hagan 1.6389 1.5197e-01
CN 1.6389 1.6122e-01
Hagan 1.6480 1.4674e-01
CN 1.6480 1.5567e-01
Hagan 1.6571 1.4168e-01
CN 1.6571 1.5028e-01
Hagan 1.6664 1.3676e-01
CN 1.6664 1.4505e-01
Hagan 1.6758 1.3200e-01
CN 1.6758 1.3997e-01
Hagan 1.6853 1.2738e-01
CN 1.6853 1.3504e-01
Hagan 1.6949 1.2291e-01
CN 1.6949 1.3025e-01
Hagan 1.7046 1.1858e-01
CN 1.7046 1.2561e-01
Hagan 1.7144 1.1438e-01
CN 1.7144 1.2111e-01
Hagan 1.7244 1.1031e-01
CN 1.7244 1.1674e-01
Hagan 1.7344 1.0638e-01
CN 1.7344 1.1251e-01
Hagan 1.7446 1.0256e-01
CN 1.7446 1.0841e-01
Hagan 1.7549 9.8876e-02
CN 1.7549 1.0444e-01
Hagan 1.7654 9.5307e-02
CN 1.7654 1.0059e-01
Hagan 1.7760 9.1854e-02
CN 1.7760 9.6870e-02
Hagan 1.7867 8.8514e-02
CN 1.7867 9.3265e-02
Hagan 1.7975 8.5283e-02
CN 1.7975 8.9777e-02
Hagan 1.8085 8.2159e-02
CN 1.8085 8.6401e-02
Hagan 1.8196 7.9139e-02
CN 1.8196 8.3137e-02
Hagan 1.8308 7.6220e-02
CN 1.8308 7.9979e-02
Hagan 1.8422 7.3399e-02
CN 1.8422 7.6927e-02
Hagan 1.8537 7.0673e-02
CN 1.8537 7.3977e-02
Hagan 1.8654 6.8039e-02
CN 1.8654 7.1126e-02
Hagan 1.8772 6.5495e-02
CN 1.8772 6.8372e-02
Hagan 1.8891 6.3038e-02
CN 1.8891 6.5712e-02
Hagan 1.9013 6.0666e-02
CN 1.9013 6.3143e-02
Hagan 1.9135 5.8375e-02
CN 1.9135 6.0663e-02
Hagan 1.9260 5.6164e-02
CN 1.9260 5.8269e-02
Hagan 1.9385 5.4029e-02
CN 1.9385 5.5959e-02
Hagan 1.9513 5.1970e-02
CN 1.9513 5.3731e-02
Hagan 1.9642 4.9983e-02
CN 1.9642 5.1581e-02
Hagan 1.9773 4.8065e-02
CN 1.9773 4.9509e-02
Hagan 1.9905 4.6216e-02
CN 1.9905 4.7510e-02
Hagan 2.0039 4.4433e-02
CN 2.0039 4.5584e-02
Hagan 2.0175 4.2713e-02
CN 2.0175 4.3728e-02
Hagan 2.0313 4.1054e-02
CN 2.0313 4.1940e-02
Hagan 2.0452 3.9456e-02
CN 2.0452 4.0217e-02
Hagan 2.0593 3.7915e-02
CN 2.0593 3.8558e-02
Hagan 2.0736 3.6430e-02
CN 2.0736 3.6961e-02
Hagan 2.0881 3.4999e-02
CN 2.0881 3.5423e-02
Hagan 2.1028 3.3620e-02
CN 2.1028 3.3943e-02
Hagan 2.1177 3.2292e-02
CN 2.1177 3.2520e-02
Hagan 2.1328 3.1012e-02
CN 2.1328 3.1150e-02
Hagan 2.1480 2.9780e-02
CN 2.1480 2.9832e-02
Hagan 2.1635 2.8593e-02
CN 2.1635 2.8565e-02
Hagan 2.1792 2.7451e-02
CN 2.1792 2.7347e-02
Hagan 2.1951 2.6351e-02
CN 2.1951 2.6177e-02
Hagan 2.2112 2.5292e-02
CN 2.2112 2.5052e-02
Hagan 2.2275 2.4273e-02
CN 2.2275 2.3971e-02
Hagan 2.2440 2.3292e-02
CN 2.2440 2.2932e-02
Hagan 2.2607 2.2348e-02
CN 2.2607 2.1935e-02
Hagan 2.2777 2.1440e-02
CN 2.2777 2.0977e-02
Hagan 2.2949 2.0567e-02
CN 2.2949 2.0058e-02
Hagan 2.3124 1.9727e-02
CN 2.3124 1.9175e-02
Hagan 2.3300 1.8919e-02
CN 2.3300 1.8328e-02
Hagan 2.3479 1.8141e-02
CN 2.3479 1.7516e-02
Hagan 2.3661 1.7394e-02
CN 2.3661 1.6736e-02
Hagan 2.3845 1.6676e-02
CN 2.3845 1.5989e-02
Hagan 2.4031 1.5985e-02
CN 2.4031 1.5272e-02
Hagan 2.4220 1.5322e-02
CN 2.4220 1.4585e-02
Hagan 2.4412 1.4684e-02
CN 2.4412 1.3926e-02
Hagan 2.4606 1.4071e-02
CN 2.4606 1.3295e-02
Hagan 2.4803 1.3482e-02
CN 2.4803 1.2690e-02
Hagan 2.5002 1.2916e-02
CN 2.5002 1.2111e-02
Hagan 2.5205 1.2372e-02
CN 2.5205 1.1556e-02
Hagan 2.5410 1.1850e-02
CN 2.5410 1.1024e-02
Hagan 2.5618 1.1349e-02
CN 2.5618 1.0515e-02
Hagan 2.5828 1.0867e-02
CN 2.5828 1.0028e-02
Hagan 2.6042 1.0405e-02
CN 2.6042 9.5623e-03
Hagan 2.6258 9.9608e-03
CN 2.6258 9.1163e-03
Hagan 2.6478 9.5347e-03
CN 2.6478 8.6897e-03
Hagan 2.6701 9.1257e-03
CN 2.6701 8.2816e-03
Hagan 2.6926 8.7332e-03
CN 2.6926 7.8913e-03
Hagan 2.7155 8.3566e-03
CN 2.7155 7.5182e-03
Hagan 2.7387 7.9951e-03
CN 2.7387 7.1615e-03
Hagan 2.7622 7.6484e-03
CN 2.7622 6.8205e-03
Hagan 2.7861 7.3158e-03
CN 2.7861 6.4947e-03
Hagan 2.8103 6.9968e-03
CN 2.8103 6.1834e-03
Hagan 2.8348 6.6908e-03
CN 2.8348 5.8861e-03
Hagan 2.8596 6.3974e-03
CN 2.8596 5.6021e-03
Hagan 2.8849 6.1161e-03
CN 2.8849 5.3309e-03
Hagan 2.9104 5.8464e-03
CN 2.9104 5.0720e-03
Hagan 2.9364 5.5878e-03
CN 2.9364 4.8248e-03
Hagan 2.9626 5.3400e-03
CN 2.9626 4.5890e-03
Hagan 2.9893 5.1025e-03
CN 2.9893 4.3639e-03
Hagan 3.0163 4.8749e-03
CN 3.0163 4.1492e-03
Hagan 3.0438 4.6568e-03
CN 3.0438 3.9444e-03
Hagan 3.0716 4.4479e-03
CN 3.0716 3.7490e-03
Hagan 3.0998 4.2478e-03
CN 3.0998 3.5628e-03
Hagan 3.1284 4.0561e-03
CN 3.1284 3.3853e-03
Hagan 3.1574 3.8726e-03
CN 3.1574 3.2160e-03
Hagan 3.1868 3.6968e-03
CN 3.1868 3.0547e-03
Hagan 3.2166 3.5285e-03
CN 3.2166 2.9011e-03
Hagan 3.2469 3.3673e-03
CN 3.2469 2.7547e-03
Hagan 3.2776 3.2131e-03
CN 3.2776 2.6152e-03
Hagan 3.3087 3.0655e-03
CN 3.3087 2.4824e-03
Hagan 3.3403 2.9242e-03
CN 3.3403 2.3560e-03
Hagan 3.3723 2.7891e-03
CN 3.3723 2.2356e-03
Hagan 3.4048 2.6598e-03
CN 3.4048 2.1211e-03
Hagan 3.4378 2.5361e-03
CN 3.4378 2.0121e-03
Hagan 3.4712 2.4177e-03
CN 3.4712 1.9083e-03
Hagan 3.5051 2.3046e-03
CN 3.5051 1.8096e-03
Hagan 3.5395 2.1964e-03
CN 3.5395 1.7158e-03
Hagan 3.5744 2.0929e-03
CN 3.5744 1.6265e-03
Hagan 3.6098 1.9940e-03
CN 3.6098 1.5417e-03
Hagan 3.6457 1.8995e-03
CN 3.6457 1.4610e-03
Hagan 3.6821 1.8091e-03
CN 3.6821 1.3843e-03
Hagan 3.7191 1.7228e-03
CN 3.7191 1.3114e-03
Hagan 3.7566 1.6403e-03
CN 3.7566 1.2422e-03
Hagan 3.7946 1.5615e-03
CN 3.7946 1.1764e-03
Hagan 3.8332 1.4862e-03
CN 3.8332 1.1140e-03
Hagan 3.8723 1.4143e-03
CN 3.8723 1.0547e-03
Hagan 3.9120 1.3457e-03
CN 3.9120 9.9833e-04
Hagan 3.9523 1.2801e-03
CN 3.9523 9.4486e-04
Hagan 3.9932 1.2176e-03
CN 3.9932 8.9411e-04
Hagan 4.0347 1.1578e-03
CN 4.0347 8.4594e-04
Hagan 4.0767 1.1009e-03
CN 4.0767 8.0025e-04
Hagan 4.1194 1.0465e-03
CN 4.1194 7.5689e-04
Hagan 4.1627 9.9459e-04
CN 4.1627 7.1578e-04
Hagan 4.2067 9.4510e-04
CN 4.2067 6.7678e-04
Hagan 4.2513 8.9790e-04
CN 4.2513 6.3981e-04
Hagan 4.2965 8.5289e-04
CN 4.2965 6.0476e-04
Hagan 4.3424 8.0998e-04
CN 4.3424 5.7154e-04
Hagan 4.3890 7.6908e-04
CN 4.3890 5.4005e-04
Hagan 4.4363 7.3009e-04
CN 4.4363 5.1022e-04
Hagan 4.4842 6.9294e-04
CN 4.4842 4.8196e-04
Hagan 4.5329 6.5754e-04
CN 4.5329 4.5519e-04
Hagan 4.5823 6.2382e-04
CN 4.5823 4.2984e-04
Hagan 4.6324 5.9170e-04
CN 4.6324 4.0583e-04
Hagan 4.6833 5.6112e-04
CN 4.6833 3.8311e-04
Hagan 4.7349 5.3200e-04
CN 4.7349 3.6160e-04
Hagan 4.7872 5.0428e-04
CN 4.7872 3.4124e-04
Hagan 4.8404 4.7790e-04
